物主,商品分类,商品标题,价格(元),图片链接,发货方式,售后支持,成色外观
nick,手机数码,29元买的万能遥控,0.1,https://www.xianzhuwu.com/upfile/fm/17691757309515746950/0.jpg,固定邮费,支持七天无理由退货,九九成新（几乎少用）
peter,音频乐器,蓝牙小音箱,3.0,https://www.xianzhuwu.com/upfile/fm/17691649528027964151/0.jpg,固定邮费,三天售后服务,七八成新（正常使用）
peter,家具厨具,康宝热水器转让,210.0,https://www.xianzhuwu.com/upfile/fm/17691386149710738940/0.jpg,运费到付,支持七天无理由退货,七八成新（正常使用）
bill,汽车摩托,20寸单车转让,138.0,https://www.xianzhuwu.com/upfile/fm/17688813440517865539/0.jpg,固定邮费,支持七天无理由退货,九九成新（几乎少用）
peter,音频乐器,正品舒尔麦克风，音质清晰，包装盒还在,800.0,https://www.xianzhuwu.com/upfile/fm/17686396694616188159/0.jpg,固定邮费,支持七天无理由退货,八九成新（轻微使用）
bill,音频乐器,无线蓝牙音箱德国重低音炮,18.0,https://www.xianzhuwu.com/upfile/fm/17684118675569456257/0.jpg,包邮到家,支持七天无理由退货,九九成新（几乎少用）
robin,手机数码,对讲机宝峰民用户外无线对讲机,15.0,https://www.xianzhuwu.com/upfile/fm/17682269628904734778/17682269628904734778.jpg,包邮到家,支持七天无理由退货,八九成新（轻微使用）
peter,手机数码,vivo S7e活力版手机型号v2031EA,280.0,https://www.xianzhuwu.com/upfile/fm/2025112357495310/2025112357495310.jpg,发货方式未定,支持七天无理由退货,新旧程度未知
bill,手机数码,按键电话座机固话座机转让喜欢的快点来,25.0,https://www.xianzhuwu.com/upfile/fm/2025111753511004/2025111753511004.jpg,发货方式未定,支持七天无理由退货,新旧程度未知
robin,电脑周边,二手戴尔一体机转让,238.0,https://www.xianzhuwu.com/upfile/fm/2025120610010054/2025120610010054.jpg,包邮到家,支持七天无理由退货,六七成新（明显使用）
robin,家用电器,29元买的万能遥控,0.1,https://www.xianzhuwu.com/upfile/fm/17691757309515746950/0.jpg,固定邮费,支持七天无理由退货,九九成新（几乎少用）
nick,家用电器,康宝热水器转让,210.0,https://www.xianzhuwu.com/upfile/fm/17691386149710738940/0.jpg,运费到付,支持七天无理由退货,七八成新（正常使用）
robin,家用电器,电风扇转让,10.0,https://www.xianzhuwu.com/upfile/fm/2026010357535052/2026010357535052.jpg,包邮到家,支持七天无理由退货,八九成新（轻微使用）
bill,家用电器,闲置二手科密点钞机转让,88.0,https://www.xianzhuwu.com/upfile/fm/2026010110057571/2026010110057571.jpg,固定邮费,七天售后服务,九九成新（几乎少用）
bill,家用电器,每天在用的开水器,12.0,https://www.xianzhuwu.com/upfile/fm/2025122799100515/2025122799100515.jpg,仅限自提,三天售后服务,七八成新（正常使用）
nick,家用电器,两百多买的志高消毒柜，现在只要50,50.0,https://www.xianzhuwu.com/upfile/fm/2025121550499910/2025121550499910.jpg,仅限自提,支持七天无理由退货,八九成新（轻微使用）
robin,家用电器,转让海尔大神童EB80M39TH,278.0,https://www.xianzhuwu.com/upfile/fm/2025121056574948/2025121056574948.jpg,运费到付,支持七天无理由退货,七八成新（正常使用）
bill,家用电器,转让威力8.5公斤洗衣机,350.0,https://www.xianzhuwu.com/upfile/fm/2025120651484953/2025120651484953.jpg,运费到付,支持七天无理由退货,九九成新（几乎少用）
